symbol,Name,MarketCap,IPOyear,Sector,Industry,,,,,
REKR,"Rekor Systems, Inc.",$156.3M,n/a,Capital Goods,Telecommunications Equipment,,,,,
RLAY,"Relay Therapeutics, Inc.",$4.8B,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
RS,Reliance Steel & Aluminum Co.,$7.51B,1994,Basic Industries,Metal Fabrications,,,,,
RBNC,"Reliant Bancorp, Inc.",$288.31M,n/a,Finance,Major Banks,,,,,
RELV,"Reliv&#39; International, Inc.",$6.51M,n/a,Health Care,Major Pharmaceuticals,,,,,
RLMD,"Relmada Therapeutics, Inc.",$577.55M,n/a,Health Care,Major Pharmaceuticals,,,,,
RELX,RELX PLC,$45.17B,2015,Consumer Services,Publishing,,,,,
MARK,"Remark Holdings, Inc.",$157.22M,n/a,Consumer Services,Telecommunications Equipment,,,,,
RNR,RenaissanceRe Holdings Ltd.,$8.37B,n/a,Finance,Property-Casualty Insurers,,,,,
RNR^E,RenaissanceRe Holdings Ltd.,n/a,n/a,n/a,n/a,,,,,
RNR^F,RenaissanceRe Holdings Ltd.,n/a,n/a,n/a,n/a,,,,,
RNLX,Renalytix AI plc,$486.56M,2020,Health Care,Medical Specialities,,,,,
RNST,Renasant Corporation,$1.73B,n/a,Finance,Major Banks,,,,,
SOL,Renesola Ltd.,$409.68M,2008,Technology,Semiconductors,,,,,
REGI,"Renewable Energy Group, Inc.",$2.28B,2012,Basic Industries,Major Chemicals,,,,,
RCG,"RENN Fund, Inc.",$9.4M,n/a,n/a,n/a,,,,,
RENN,Renren Inc.,$134.41M,2011,Technology,EDP Services,,,,,
RCII,Rent-A-Center Inc.,$1.83B,1995,Technology,Diversified Commercial Services,,,,,
RPTX,Repare Therapeutics Inc.,$1.1B,2020,Health Care,Major Pharmaceuticals,,,,,
RPAY,Repay Holdings Corporation,$1.72B,2018,Miscellaneous,Business Services,,,,,
RPLA,Replay Acquisition Corp.,$363.33M,2019,Finance,Business Services,,,,,
RPLA.U,Replay Acquisition Corp.,n/a,2019,n/a,n/a,,,,,
RPLA.WS,Replay Acquisition Corp.,n/a,n/a,n/a,n/a,,,,,
RGEN,Repligen Corporation,$9.98B,1986,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
REPL,"Replimune Group, Inc.",$2.38B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
KRMD,"Repro Med Systems, Inc.",$197.74M,n/a,Health Care,Medical/Dental Instruments,,,,,
RBCAA,"Republic Bancorp, Inc.",$738.32M,1998,Finance,Major Banks,,,,,
FRBK,"Republic First Bancorp, Inc.",$183.05M,n/a,Finance,Major Banks,,,,,
RSG,"Republic Services, Inc.",$30.83B,1998,Public Utilities,Environmental Services,,,,,
REFR,Research Frontiers Incorporated,$92.52M,n/a,Miscellaneous,Multi-Sector Companies,,,,,
RSSS,"Research Solutions, Inc",$61.18M,n/a,Miscellaneous,Business Services,,,,,
REZI,"Resideo Technologies, Inc.",$2.6B,2018,Capital Goods,Wholesale Distributors,,,,,
RMD,ResMed Inc.,$30.37B,n/a,Health Care,Medical/Dental Instruments,,,,,
RFP,Resolute Forest Products Inc.,$446.8M,n/a,Basic Industries,Paper,,,,,
RESN,Resonant Inc.,$120.27M,2014,Technology,Semiconductors,,,,,
RGP,"Resources Connection, Inc.",$392.77M,n/a,Miscellaneous,Business Services,,,,,
QSR,Restaurant Brands International Inc.,$17.27B,2014,Consumer Services,Restaurants,,,,,
ROIC,Retail Opportunity Investments Corp.,$1.53B,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
RPAI,"Retail Properties of America, Inc.",$1.74B,2012,Consumer Services,Real Estate Investment Trusts,,,,,
RVI,Retail Value Inc.,$305.37M,2018,Finance,Real Estate,,,,,
RETO,"ReTo Eco-Solutions, Inc.",$15.93M,2017,Capital Goods,Industrial Machinery/Components,,,,,
RVP,"Retractable Technologies, Inc.",$391.6M,n/a,Health Care,Medical/Dental Instruments,,,,,
REVG,"REV Group, Inc.",$586.52M,2017,Capital Goods,Auto Manufacturing,,,,,
RVNC,"Revance Therapeutics, Inc.",$1.61B,2014,Health Care,Major Pharmaceuticals,,,,,
REV,"Revlon, Inc.",$685.86M,1996,Consumer Non-Durables,Package Goods/Cosmetics,,,,,
RVMD,"Revolution Medicines, Inc.",$2.9B,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
RVLV,"Revolve Group, Inc.",$1.66B,2019,Consumer Services,Catalog/Specialty Distribution,,,,,
RWLK,ReWalk Robotics Ltd.,$25.51M,2014,Health Care,Industrial Specialties,,,,,
REX,REX American Resources Corporation,$486.58M,n/a,Basic Industries,Major Chemicals,,,,,
REXR,"Rexford Industrial Realty, Inc.",$5.93B,2013,Consumer Services,Real Estate Investment Trusts,,,,,
REXR^A,"Rexford Industrial Realty, Inc.",n/a,n/a,n/a,n/a,,,,,
REXR^B,"Rexford Industrial Realty, Inc.",n/a,n/a,n/a,n/a,,,,,
REXR^C,"Rexford Industrial Realty, Inc.",n/a,n/a,n/a,n/a,,,,,
RXN,Rexnord Corporation,$4.51B,2012,Technology,Industrial Machinery/Components,,,,,
REYN,Reynolds Consumer Products Inc.,$6.36B,2020,Consumer Durables,Containers/Packaging,,,,,
RZLT,"Rezolute, Inc.",$167.05M,n/a,Health Care,Major Pharmaceuticals,,,,,
RFIL,"RF Industries, Ltd.",$46.81M,n/a,Capital Goods,Electrical Products,,,,,
RGCO,RGC Resources Inc.,$197.72M,n/a,Public Utilities,Oil & Gas Production,,,,,
RH,RH,$8.84B,2012,Consumer Services,Other Specialty Stores,,,,,
RBKB,"Rhinebeck Bancorp, Inc.",$100.42M,2019,Finance,Banks,,,,,
RYTM,"Rhythm Pharmaceuticals, Inc.",$1.37B,2017,Health Care,Major Pharmaceuticals,,,,,
LEAP,"Ribbit LEAP, Ltd.",$702.06M,2020,Finance,Business Services,,,,,
LEAP.U,"Ribbit LEAP, Ltd.",n/a,2020,n/a,n/a,,,,,
LEAP.WS,"Ribbit LEAP, Ltd.",n/a,n/a,n/a,n/a,,,,,
RBBN,Ribbon Communications Inc. ,$997.42M,n/a,Technology,EDP Services,,,,,
RICE.U,Rice Acquisition Corp.,n/a,2020,n/a,n/a,,,,,
RIBT,RiceBran Technologies,$25.06M,n/a,Consumer Non-Durables,Packaged Foods,,,,,
RELL,"Richardson Electronics, Ltd.",$60.23M,1983,Technology,Electronic Components,,,,,
RMBI,"Richmond Mutual Bancorporation, Inc.",$166.77M,2019,Finance,Major Banks,,,,,
RIGL,"Rigel Pharmaceuticals, Inc.",$512.01M,2000,Health Care,Major Pharmaceuticals,,,,,
RNET,"RigNet, Inc.",$110.61M,2010,Consumer Services,Telecommunications Equipment,,,,,
RMNI,"Rimini Street, Inc.",$332.6M,2015,Miscellaneous,Business Services,,,,,
REI,"Ring Energy, Inc.",$51.31M,n/a,Energy,Oil & Gas Production,,,,,
RNG,"Ringcentral, Inc.",$26.63B,2013,Technology,EDP Services,,,,,
RIO,Rio Tinto Plc,$81B,2002,Basic Industries,Precious Metals,,,,,
RIOT,"Riot Blockchain, Inc",$430.33M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,,,,,
REDU,RISE Education Cayman Ltd,$364.2M,2017,Consumer Services,Other Consumer Services,,,,,
RBA,Ritchie Bros. Auctioneers Incorporated,$7.86B,n/a,Miscellaneous,Business Services,,,,,
RAD,Rite Aid Corporation,$728.96M,n/a,Health Care,Medical/Nursing Services,,,,,
RFM,"RiverNorth Flexible Municipal Income Fund, Inc.",n/a,2020,n/a,n/a,,,,,
RMM,"RiverNorth Managed Duration Municipal Income Fund, Inc.",$346.43M,2019,n/a,n/a,,,,,
RMI,"RiverNorth Opportunistic Municipal Income Fund, Inc.",$134.79M,2018,n/a,n/a,,,,,
RIV,"RiverNorth Opportunities Fund, Inc.",$141.7M,2015,n/a,n/a,,,,,
RMPL^,RiverNorth Specialty Finance Corporation,n/a,n/a,n/a,n/a,,,,,
RSF,RiverNorth Specialty Finance Corporation,$85.8M,2019,n/a,n/a,,,,,
OPP,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",$197.2M,2016,n/a,n/a,,,,,
OPP^A,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",n/a,n/a,n/a,n/a,,,,,
RVSB,Riverview Bancorp Inc,$117.94M,n/a,Finance,Savings Institutions,,,,,
RIVE,Riverview Financial Corporation,$69.61M,n/a,Finance,Major Banks,,,,,
RLI,RLI Corp.,$4.31B,n/a,Finance,Property-Casualty Insurers,,,,,
RLJ,RLJ Lodging Trust,$2.03B,2011,Consumer Services,Real Estate Investment Trusts,,,,,
RLJ^A,RLJ Lodging Trust,n/a,n/a,n/a,n/a,,,,,
RMG,RMG Acquisition Corp.,$510.31M,2019,Miscellaneous,Industrial Machinery/Components,,,,,
RMG.U,RMG Acquisition Corp.,n/a,2019,n/a,n/a,,,,,
RMG.WS,RMG Acquisition Corp.,n/a,n/a,n/a,n/a,,,,,
RMRM,RMR Mortgage Trust,$85.19M,n/a,n/a,n/a,,,,,
RHI,Robert Half International Inc.,$7.32B,n/a,Technology,Professional Services,,,,,
RKT,"Rocket Companies, Inc.",$41.12B,2020,Finance,Finance: Consumer Services,,,,,
RCKT,"Rocket Pharmaceuticals, Inc.",$1.71B,2015,Health Care,Major Pharmaceuticals,,,,,
ROK,"Rockwell Automation, Inc.",$29.69B,n/a,Capital Goods,Industrial Machinery/Components,,,,,
RMTI,"Rockwell Medical, Inc.",$98.25M,1998,Health Care,Major Pharmaceuticals,,,,,
RCKY,"Rocky Brands, Inc.",$210.03M,1993,Consumer Non-Durables,Shoe Manufacturing,,,,,
RMCF,"Rocky Mountain Chocolate Factory, Inc.",$25.92M,n/a,Consumer Non-Durables,Specialty Foods,,,,,
RSVA,Rodgers Silicon Valley Acquisition Corp.,n/a,n/a,n/a,n/a,,,,,
RCI,"Rogers Communication, Inc.",$23.79B,n/a,Consumer Services,Television Services,,,,,
ROG,Rogers Corporation,$2.74B,n/a,Basic Industries,Major Chemicals,,,,,
ROKU,"Roku, Inc.",$37.26B,2017,Consumer Services,Television Services,,,,,
ROL,"Rollins, Inc.",$28.11B,n/a,Finance,Diversified Commercial Services,,,,,
DBDR,Roman DBDR Tech Acquisition Corp.,$286.56M,2020,Finance,Business Services,,,,,
DBDRU,Roman DBDR Tech Acquisition Corp.,n/a,2020,Finance,Business Services,,,,,
DBDRW,Roman DBDR Tech Acquisition Corp.,n/a,2020,Finance,Business Services,,,,,
ROOT,"Root, Inc.",$4.41B,2020,Finance,Property-Casualty Insurers,,,,,
ROP,"Roper Technologies, Inc.",$44.78B,1992,Capital Goods,Industrial Machinery/Components,,,,,
ROST,"Ross Stores, Inc.",$38.28B,1985,Consumer Services,Clothing/Shoe/Accessory Stores,,,,,
ROCH,Roth CH Acquisition I Co.,$109.88M,2020,Finance,Business Services,,,,,
ROCHU,Roth CH Acquisition I Co.,n/a,2020,Finance,Business Services,,,,,
ROCHW,Roth CH Acquisition I Co.,n/a,2020,Finance,Business Services,,,,,
RY,Royal Bank Of Canada,$116.59B,n/a,Finance,Commercial Banks,,,,,
RY^T,Royal Bank Of Canada,n/a,n/a,n/a,n/a,,,,,
RCL,Royal Caribbean Group,$17.68B,1993,Consumer Services,Marine Transportation,,,,,
RDS.A,Royal Dutch Shell PLC,n/a,n/a,n/a,n/a,,,,,
RDS.B,Royal Dutch Shell PLC,n/a,n/a,n/a,n/a,,,,,
RGLD,"Royal Gold, Inc.",$7.25B,n/a,Basic Industries,Precious Metals,,,,,
RPRX,Royalty Pharma plc,$26.64B,2020,Health Care,Major Pharmaceuticals,,,,,
RGT,"Royce Global Value Trust, Inc.",$152.3M,2013,n/a,n/a,,,,,
RMT,"Royce Micro-Cap Trust, Inc.",$405.13M,n/a,n/a,n/a,,,,,
RVT,"Royce Value Trust, Inc.",$1.54B,1986,n/a,n/a,,,,,
RES,"RPC, Inc.",$666.71M,n/a,Energy,Oilfield Services/Equipment,,,,,
RPM,RPM International Inc.,$11.44B,n/a,Basic Industries,Paints/Coatings,,,,,
RPT,RPT Realty,$593.45M,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
RPT^D,RPT Realty,n/a,n/a,n/a,n/a,,,,,
RBCN,"Rubicon Technology, Inc.",$21.34M,2007,Technology,Semiconductors,,,,,
RUBY,"Rubius Therapeutics, Inc.",$507.39M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
RUHN,Ruhnn Holding Limited,$246.38M,2019,Consumer Services,Catalog/Specialty Distribution,,,,,
RMBL,"RumbleOn, Inc.",$75.5M,n/a,Technology,EDP Services,,,,,
RUSHA,"Rush Enterprises, Inc.",$2.1B,n/a,Consumer Durables,Automotive Aftermarket,,,,,
RUSHB,"Rush Enterprises, Inc.",$1.86B,n/a,Consumer Durables,Automotive Aftermarket,,,,,
RUTH,"Ruth&#39;s Hospitality Group, Inc.",$543.39M,2005,Consumer Services,Restaurants,,,,,
RYAAY,Ryanair Holdings plc,$23.35B,1997,Transportation,Air Freight/Delivery Services,,,,,
RYB,"RYB Education, Inc.",$72.83M,2017,Consumer Services,Other Consumer Services,,,,,
R,"Ryder System, Inc.",$3.19B,n/a,Consumer Services,Rental/Leasing Companies,,,,,
RYI,Ryerson Holding Corporation,$409.38M,2014,Basic Industries,Metal Fabrications,,,,,
RHP,"Ryman Hospitality Properties, Inc.",$3.53B,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
SPGI,S&P Global Inc.,$84.64B,n/a,Finance,Finance: Consumer Services,,,,,
STBA,"S&T Bancorp, Inc.",$880.17M,n/a,Finance,Major Banks,,,,,
SANW,S&W Seed Company,$87.39M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,,,,,
SBR,Sabine Royalty Trust,$425.53M,n/a,Energy,Oil & Gas Production,,,,,
SBRA,"Sabra Health Care REIT, Inc.",$3.41B,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
SABR,Sabre Corporation,$3.57B,2014,Technology,"Computer Software: Programming, Data Processing",,,,,
SABRP,Sabre Corporation,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",,,,,
SACC,Sachem Capital Corp.,n/a,2019,Consumer Services,Real Estate Investment Trusts,,,,,
SACH,Sachem Capital Corp.,$93.15M,2017,Consumer Services,Real Estate Investment Trusts,,,,,
SCCB,Sachem Capital Corp.,n/a,2019,Consumer Services,Real Estate Investment Trusts,,,,,
SCCC,Sachem Capital Corp.,n/a,2020,Consumer Services,Real Estate Investment Trusts,,,,,
SB,"Safe Bulkers, Inc",$122.61M,2008,Transportation,Marine Transportation,,,,,
SB^C,"Safe Bulkers, Inc",n/a,n/a,n/a,n/a,,,,,
SB^D,"Safe Bulkers, Inc",n/a,n/a,n/a,n/a,,,,,
SFE,"Safeguard Scientifics, Inc.",$133.92M,n/a,Finance,Finance/Investors Services,,,,,
SAFE,Safehold Inc.,$3.61B,2017,Consumer Services,Real Estate,,,,,
SFET,Safe-T Group Ltd.,$19.42M,2018,Technology,Computer Software: Prepackaged Software,,,,,
SAFT,"Safety Insurance Group, Inc.",$1.06B,2002,Finance,Property-Casualty Insurers,,,,,
SGA,"Saga Communications, Inc.",$136.34M,n/a,Consumer Services,Broadcasting,,,,,
SAGE,"Sage Therapeutics, Inc.",$3.86B,2014,Health Care,Major Pharmaceuticals,,,,,
SAIA,"Saia, Inc.",$4.57B,n/a,Transportation,Trucking Freight/Courier Services,,,,,
SAIL,"SailPoint Technologies Holdings, Inc.",$4.23B,2017,Technology,Computer Software: Prepackaged Software,,,,,
SLRX,"Salarius Pharmaceuticals, Inc.",$13.5M,2015,Health Care,Major Pharmaceuticals,,,,,
SALM,"Salem Media Group, Inc.",$28.55M,1999,Consumer Services,Broadcasting,,,,,
CRM,Salesforce.com Inc,$223.68B,2004,Technology,Computer Software: Prepackaged Software,,,,,
SMM,Salient Midstream & MLP Fund,$74.79M,2012,n/a,n/a,,,,,
SAL,"Salisbury Bancorp, Inc.",$111.03M,n/a,Finance,Savings Institutions,,,,,
SBH,"Sally Beauty Holdings, Inc.",$1.3B,n/a,Consumer Services,Other Specialty Stores,,,,,
SJT,San Juan Basin Royalty Trust,$170.12M,n/a,Energy,Oil & Gas Production,,,,,
SMTI,Sanara MedTech Inc.,n/a,n/a,Health Care,Industrial Specialties,,,,,
SNMP,Sanchez Midstream Partners LP,$12.81M,n/a,Energy,Oil & Gas Production,,,,,
SBG,Sandbridge Acquisition Corporation,$280.31M,2020,Finance,Business Services,,,,,
SBG.U,Sandbridge Acquisition Corporation,n/a,2020,n/a,n/a,,,,,
SBG.WS,Sandbridge Acquisition Corporation,n/a,n/a,n/a,n/a,,,,,
SAFM,"Sanderson Farms, Inc.",$3.04B,1987,Consumer Non-Durables,Meat/Poultry/Fish,,,,,
SD,"SandRidge Energy, Inc.",$95.93M,2016,Energy,Oil & Gas Production,,,,,
SAND          ,Sandstorm Gold Ltd,$1.4B,n/a,Basic Industries,Precious Metals,,,,,
SASR,"Sandy Spring Bancorp, Inc.",$1.39B,n/a,Finance,Major Banks,,,,,
SGMO,"Sangamo Therapeutics, Inc.",$1.41B,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
SANM,Sanmina Corporation,$2.07B,1993,Technology,Electrical Products,,,,,
SNY,Sanofi,$126.08B,n/a,Health Care,Major Pharmaceuticals,,,,,
SC,Santander Consumer USA Holdings Inc.,$6.76B,2014,Finance,Finance: Consumer Services,,,,,
SAP,SAP SE,$144.62B,n/a,Technology,Computer Software: Prepackaged Software,,,,,
SPNS,Sapiens International Corporation N.V.,$1.5B,1992,Technology,Computer Software: Prepackaged Software,,,,,
SAF,Saratoga Investment Corp,n/a,2018,n/a,n/a,,,,,
SAK,Saratoga Investment Corp,n/a,2020,n/a,n/a,,,,,
SAR,Saratoga Investment Corp,$247.29M,n/a,n/a,n/a,,,,,
SRPT,"Sarepta Therapeutics, Inc.",$11.12B,n/a,Health Care,Major Pharmaceuticals,,,,,
SRSAU,Sarissa Capital Acquisition Corp.,n/a,2020,Finance,Business Services,,,,,
SSL,Sasol Ltd.,$4.73B,n/a,Energy,Oil & Gas Production,,,,,
STSA,"Satsuma Pharmaceuticals, Inc.",$78.4M,2019,Health Care,Major Pharmaceuticals,,,,,
BFS,"Saul Centers, Inc.",$730.08M,1993,Consumer Services,Real Estate Investment Trusts,,,,,
BFS^D,"Saul Centers, Inc.",n/a,n/a,n/a,n/a,,,,,
BFS^E,"Saul Centers, Inc.",n/a,n/a,n/a,n/a,,,,,
SVRA,"Savara, Inc.",$72.55M,n/a,Health Care,Major Pharmaceuticals,,,,,
SBFG,"SB Financial Group, Inc.",$129.2M,n/a,Finance,Major Banks,,,,,
SBAC,SBA Communications Corporation,$31.89B,1999,Consumer Services,Real Estate Investment Trusts,,,,,
SCPE,SC Health Corporation,$229.95M,2019,Finance,Business Services,,,,,
SCPE.U,SC Health Corporation,n/a,2019,n/a,n/a,,,,,
SCPE.WS,SC Health Corporation,n/a,n/a,n/a,n/a,,,,,
SCSC,"ScanSource, Inc.",$636.65M,n/a,Technology,Retail: Computer Software & Peripheral Equipment,,,,,
SLB,Schlumberger N.V.,$28.94B,n/a,Energy,Oilfield Services/Equipment,,,,,
SMIT,"Schmitt Industries, Inc.",$21.44M,n/a,Capital Goods,Industrial Machinery/Components,,,,,
SNDR,"Schneider National, Inc.",$3.71B,2017,Transportation,Trucking Freight/Courier Services,,,,,
SCHN,"Schnitzer Steel Industries, Inc.",$694.5M,1993,Consumer Durables,Industrial Specialties,,,,,
SRRK,Scholar Rock Holding Corporation,$1.68B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
SCHL,Scholastic Corporation,$811.3M,1992,Consumer Services,Books,,,,,
SDGR,"Schrodinger, Inc.",$4.83B,2020,Health Care,Major Pharmaceuticals,,,,,
SAMA,Schultze Special Purpose Acquisition Corp.,$198.64M,2019,Finance,Business Services,,,,,
SAMAU,Schultze Special Purpose Acquisition Corp.,n/a,2018,Finance,Business Services,,,,,
SAMAW,Schultze Special Purpose Acquisition Corp.,n/a,2019,Finance,Business Services,,,,,
SWM,"Schweitzer-Mauduit International, Inc.",$1.09B,n/a,Basic Industries,Paper,,,,,
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,$5.38B,n/a,Technology,EDP Services,,,,,
SJ,Scienjoy Holding Corporation,$244.96M,2019,Technology,EDP Services,,,,,
SGMS,Scientific Games Corp,$3.55B,n/a,Technology,EDP Services,,,,,
SCPL,SciPlay Corporation,$340.34M,2019,Technology,EDP Services,,,,,
SALT,Scorpio Bulkers Inc.,$212.31M,2013,Transportation,Marine Transportation,,,,,
SBBA,Scorpio Tankers Inc.,n/a,2020,Transportation,Marine Transportation,,,,,
STNG,Scorpio Tankers Inc.,$669.32M,2010,Transportation,Marine Transportation,,,,,
SMG,Scotts Miracle-Gro Company (The),$9.8B,1992,Basic Industries,Agricultural Chemicals,,,,,
SCPH,scPharmaceuticals Inc.,$251.89M,2017,Health Care,Major Pharmaceuticals,,,,,
KTF,Scudder Municiple Income Trust,$447.94M,1988,n/a,n/a,,,,,
KSM,Scudder Strategic Municiple Income Trust,$126.49M,1989,n/a,n/a,,,,,
SRL,Scully Royalty Ltd.,$58.77M,n/a,n/a,n/a,,,,,
SCU,"Sculptor Capital Management, Inc.",$780.05M,n/a,Finance,Investment Managers,,,,,
SCVX,SCVX Corp.,$290.38M,2020,Finance,Business Services,,,,,
SCVX.U,SCVX Corp.,n/a,2020,n/a,n/a,,,,,
SCVX.WS,SCVX Corp.,n/a,n/a,n/a,n/a,,,,,
WORX,SCWorx Corp.,$20.71M,2016,Consumer Services,Services-Misc. Amusement & Recreation,,,,,
SCYX,"SCYNEXIS, Inc.",$72.75M,2014,Health Care,Major Pharmaceuticals,,,,,
SE,Sea Limited,$89.1B,2017,Consumer Services,Other Consumer Services,,,,,
SEB,Seaboard Corporation,$3.72B,1996,Consumer Services,Farming/Seeds/Milling,,,,,
SA,"Seabridge Gold, Inc.",$1.26B,n/a,Basic Industries,Precious Metals,,,,,
SEAC,"SeaChange International, Inc.",$36.26M,1996,Technology,Radio And Television Broadcasting And Communications Equipment,,,,,
SBCF,Seacoast Banking Corporation of Florida,$1.39B,n/a,Finance,Major Banks,,,,,
CKH,"SEACOR Holdings, Inc.",$676.76M,n/a,Transportation,Marine Transportation,,,,,
SMHI,SEACOR Marine Holdings Inc.,$47.89M,2017,Transportation,Marine Transportation,,,,,
STX,Seagate Technology PLC,$15.11B,2002,Technology,Electronic Components,,,,,
SGEN,Seagen Inc. ,$30.48B,2001,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
SEE,Sealed Air Corporation,$6.99B,n/a,Basic Industries,Major Chemicals,,,,,
SHIP,Seanergy Maritime Holdings Corp,$32.08M,n/a,Transportation,Marine Transportation,,,,,
SHIPW,Seanergy Maritime Holdings Corp,n/a,n/a,Transportation,Marine Transportation,,,,,
SHIPZ,Seanergy Maritime Holdings Corp,n/a,n/a,Transportation,Marine Transportation,,,,,
SGAMU,Seaport Global Acquisition Corp.,n/a,2020,Finance,Business Services,,,,,
SPNE,SeaSpine Holdings Corporation,$392.94M,n/a,Health Care,Medical/Dental Instruments,,,,,
SEAS,"SeaWorld Entertainment, Inc.",$2.19B,2013,Consumer Services,Services-Misc. Amusement & Recreation,,,,,
EYES,"Second Sight Medical Products, Inc.",$22.47M,2014,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,,,,,
EYESW,"Second Sight Medical Products, Inc.",n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,,,,,
SECO,Secoo Holding Limited,$220.44M,2017,Consumer Services,Other Specialty Stores,,,,,
SCWX,SecureWorks Corp.,$927.91M,2016,Technology,Computer Software: Prepackaged Software,,,,,
SNFCA,Security National Financial Corporation,$153.5M,n/a,Finance,Finance: Consumer Services,,,,,
SEEL,"Seelos Therapeutics, Inc.",$52.36M,n/a,Health Care,Major Pharmaceuticals,,,,,
SEIC,SEI Investments Company,$7.63B,1981,Finance,Investment Bankers/Brokers/Service,,,,,
SLCT,"Select Bancorp, Inc.",$162.75M,n/a,Finance,Major Banks,,,,,
WTTR,"Select Energy Services, Inc.",$435.88M,2017,Energy,Oilfield Services/Equipment,,,,,
SIC,"Select Interior Concepts, Inc.",$192.8M,n/a,Basic Industries,Homebuilding,,,,,
SEM,Select Medical Holdings Corporation,$3.25B,2009,Health Care,Hospital/Nursing Management,,,,,
SELB,"Selecta Biosciences, Inc.",$362.98M,2016,Health Care,Major Pharmaceuticals,,,,,
SIGI,"Selective Insurance Group, Inc.",$3.7B,n/a,Finance,Property-Casualty Insurers,,,,,
SLQT,"SelectQuote, Inc.",$3.49B,2020,Finance,Specialty Insurers,,,,,
SLS,"SELLAS Life Sciences Group, Inc. ",$35.29M,n/a,Health Care,Major Pharmaceuticals,,,,,
LEDS,SemiLEDS Corporation,$12.6M,2010,Technology,Semiconductors,,,,,
SRE,Sempra Energy,$36.77B,n/a,Public Utilities,Natural Gas Distribution,,,,,
SRE^A,Sempra Energy,n/a,n/a,Public Utilities,Natural Gas Distribution,,,,,
SRE^B,Sempra Energy,n/a,n/a,n/a,n/a,,,,,
SREA,Sempra Energy,n/a,2019,Public Utilities,Natural Gas Distribution,,,,,
SMTC,Semtech Corporation,$4.4B,n/a,Technology,Semiconductors,,,,,
SNCA,"Seneca Biopharma, Inc.",$11.24M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
SENEA,Seneca Foods Corp.,$380.25M,n/a,Consumer Non-Durables,Packaged Foods,,,,,
SENEB,Seneca Foods Corp.,$376.34M,n/a,Consumer Non-Durables,Packaged Foods,,,,,
SNES,"SenesTech, Inc.",$6.6M,2016,Basic Industries,Agricultural Chemicals,,,,,
AIHS,Senmiao Technology Limited,$60.7M,2018,Finance,Finance: Consumer Services,,,,,
ST,Sensata Technologies Holding plc,$7.68B,2010,Capital Goods,Industrial Machinery/Components,,,,,
SENS,"Senseonics Holdings, Inc.",$90.9M,n/a,Capital Goods,Industrial Machinery/Components,,,,,
SXT,Sensient Technologies Corporation,$3.04B,n/a,Basic Industries,Major Chemicals,,,,,
SRTS,"Sensus Healthcare, Inc.",$53.3M,2016,Health Care,Medical/Dental Instruments,,,,,
SQNS,Sequans Communications S.A.,$142.77M,2011,Technology,Semiconductors,,,,,
SQBG,"Sequential Brands Group, Inc.",$17.16M,n/a,Consumer Non-Durables,Apparel,,,,,
MCRB,"Seres Therapeutics, Inc.",$2.52B,2015,Health Care,Major Pharmaceuticals,,,,,
SRG,Seritage Growth Properties,$947.26M,2015,Finance,Real Estate,,,,,
SRG^A,Seritage Growth Properties,n/a,n/a,n/a,n/a,,,,,
SCI,Service Corporation International,$8.4B,n/a,Consumer Services,Other Consumer Services,,,,,
SVC,Service Properties Trust,$1.95B,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
NOW,"ServiceNow, Inc.",$104.29B,2012,Technology,Computer Software: Prepackaged Software,,,,,
SREV,"ServiceSource International, Inc.",$148.76M,2011,Miscellaneous,Business Services,,,,,
SFBS,"ServisFirst Bancshares, Inc.",$2.04B,2014,Finance,Major Banks,,,,,
SVT,"Servotronics, Inc.",$17.92M,n/a,Capital Goods,Industrial Machinery/Components,,,,,
SESN,"Sesen Bio, Inc.",$160.38M,2014,Health Care,Major Pharmaceuticals,,,,,
SVBI,Severn Bancorp Inc,$88.18M,n/a,Finance,Major Banks,,,,,
SFL,SFL Corporation Ltd,$818.54M,n/a,Transportation,Marine Transportation,,,,,
SGBX,"SG Blocks, Inc.",$26.39M,2017,Consumer Services,RETAIL: Building Materials,,,,,
